ID,System,Alarm,Timestamp,Duration
276,System overview [276],Grid alarm: Grid lost,2024-04-04 08:08:47,"4h, 31m, 3s"
276,System overview [276],Grid alarm: Grid lost,2024-04-02 13:54:38,16s
276,System overview [276],Grid alarm: Grid lost,2024-03-31 12:03:05,"2m, 28s"
276,System overview [276],Grid alarm: Grid lost,2024-03-27 04:53:08,"7h, 4m, 25s"
276,System overview [276],Grid alarm: Grid lost,2024-03-25 06:37:36,"8m, 18s"
276,System overview [276],Grid alarm: Grid lost,2024-03-25 02:47:17,"38m, 32s"
276,System overview [276],Grid alarm: Grid lost,2024-03-25 01:08:53,"1h, 24m, 27s"
276,System overview [276],Grid alarm: Grid lost,2024-03-18 10:36:31,51s
276,System overview [276],Grid alarm: Grid lost,2024-03-13 22:30:29,"1m, 14s"
276,System overview [276],Grid alarm: Grid lost,2024-03-13 14:01:27,24s
276,System overview [276],Grid alarm: Grid lost,2024-03-13 08:23:54,17s
276,System overview [276],Grid alarm: Grid lost,2024-03-12 22:00:50,"3m, 1s"
276,System overview [276],Grid alarm: Grid lost,2024-03-12 15:36:12,"2h, 1m, 23s"
276,System overview [276],Grid alarm: Grid lost,2024-03-12 02:28:23,"2m, 16s"
276,System overview [276],Grid alarm: Grid lost,2024-03-10 02:00:34,"2m, 17s"
276,System overview [276],Grid alarm: Grid lost,2024-03-06 04:33:48,2m
276,System overview [276],Grid alarm: Grid lost,2024-02-27 20:14:04,"2m, 32s"
276,System overview [276],Grid alarm: Grid lost,2024-02-24 08:21:51,"2m, 47s"
276,System overview [276],Grid alarm: Grid lost,2024-02-23 22:54:33,"2m, 3s"
276,System overview [276],Grid alarm: Grid lost,2024-02-16 15:42:15,"3m, 34s"
276,System overview [276],Grid alarm: Grid lost,2024-02-16 01:06:26,"1h, 45m, 55s"
276,System overview [276],Grid alarm: Grid lost,2024-02-13 17:57:56,"2m, 24s"
276,System overview [276],Grid alarm: Grid lost,2024-02-13 15:54:58,"1h, 28m, 2s"
276,System overview [276],Grid alarm: Grid lost,2024-02-12 16:21:37,"2m, 25s"
276,System overview [276],Grid alarm: Grid lost,2024-02-09 01:19:17,"11h, 36m, 27s"
276,System overview [276],Grid alarm: Grid lost,2024-02-08 21:47:56,"1m, 48s"
276,System overview [276],Grid alarm: Grid lost,2024-02-07 13:48:02,27s
276,System overview [276],Grid alarm: Grid lost,2024-02-06 23:34:29,"2m, 25s"
276,System overview [276],Grid alarm: Grid lost,2024-02-05 10:26:50,"4h, 22m, 11s"
276,System overview [276],Grid alarm: Grid lost,2024-02-04 20:07:03,"1m, 44s"
276,System overview [276],Grid alarm: Grid lost,2024-02-04 16:51:11,"1h, 39m, 34s"
276,System overview [276],Grid alarm: Grid lost,2024-02-04 03:58:00,"12h, 51m, 23s"
276,System overview [276],Grid alarm: Grid lost,2024-02-01 23:04:40,"4h, 9m, 23s"
276,System overview [276],Grid alarm: Grid lost,2024-02-01 11:50:48,"1h, 8m, 10s"
276,System overview [276],Grid alarm: Grid lost,2024-02-01 02:48:56,"2h, 26m, 10s"
276,System overview [276],Grid alarm: Grid lost,2024-01-29 06:32:57,"38m, 29s"
276,System overview [276],Grid alarm: Grid lost,2024-01-29 03:09:22,"2h, 5m, 28s"
276,System overview [276],Grid alarm: Grid lost,2024-01-22 12:57:12,20s
276,System overview [276],Grid alarm: Grid lost,2024-01-13 02:53:06,"2m, 24s"
276,System overview [276],Grid alarm: Grid lost,2024-01-12 23:25:18,19s
276,System overview [276],Grid alarm: Grid lost,2024-01-10 02:00:52,"1m, 51s"
276,System overview [276],Grid alarm: Grid lost,2024-01-06 20:21:06,"2m, 30s"
276,System overview [276],Grid alarm: Grid lost,2024-01-05 21:53:15,"2m, 18s"
276,System overview [276],Grid alarm: Grid lost,2024-01-02 13:36:29,"2m, 22s"
276,System overview [276],Grid alarm: Grid lost,2023-12-26 19:31:41,"16m, 10s"
